Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/1/20,-92497290.53509888,-1293.5245336297248,874.6568072862049,5555.330078,47.28787879,1.074,1.2485,112.9,2.48,4.699506187,-0.2,149.2532239
2017/1/23,-92497290.53509888,-1292.3514797728694,874.4274761607154,5552.939941,47.28787879,1.074,1.2485,112.9,2.41,4.694535288,-0.166666667,149.279597
2017/1/24,-92497290.53509888,-1291.1784257763825,874.1981451585093,5600.959961,47.28787879,1.0749,1.2531,113.63,2.47,4.689564389,-0.133333333,149.3059701
2017/1/25,-92497290.53509888,-1290.005375578792,873.9688205998469,5656.339844,47.28787879,1.0743,1.262,113.6,2.53,4.68459349,-0.1,149.3323433
2017/1/26,-92497290.53509888,-1288.8323215025723,873.7394896189472,5655.180176,47.28787879,1.067,1.2579,114.7,2.51,4.679622591,-0.066666667,149.3587164
2017/1/27,-92497290.53509888,-1287.6592676457171,873.5101584934578,5660.779785,47.28787879,1.069,1.2531,115.16,2.49,4.674651692,-0.033333333,149.3850896
2017/1/30,-92497290.53509888,-1286.4862172273586,873.280834080326,5613.709961,47.28787879,1.0681,1.2478,113.86,2.49,4.669680793,0.0,149.4114627
2017/1/31,-92497290.53509888,-1285.3131633719063,873.0515029538946,5614.790039,47.28787879,1.0794,1.2585,112.72,2.45,4.664709894,0.0,149.4378358
2017/2/1,-92497290.53509888,-1285.2747778388607,873.0236062879858,5642.649902,47.28787879,1.0758,1.2643,113.29,2.48,4.664709894,-0.438095238,149.464209
2017/2/2,-92497290.53509888,-1283.0929266277556,871.9525610497471,5636.200195,47.28787879,1.0802,1.2541,112.48,2.48,4.655613819,-0.876190476,149.4905821
2017/2/3,-92497290.53509888,-1280.911083924633,870.8815205092944,5666.77002,47.28787879,1.0792,1.2504,112.42,2.49,4.646517745,-1.314285714,149.5169552
2017/2/6,-92497290.53509888,-1278.7292324935522,869.8104754166986,5663.549805,47.28787879,1.0731,1.245,112.32,2.42,4.63742167,-1.752380952,149.5433284
2017/2/7,-92497290.53509888,-1276.5473897114896,868.7394348976658,5674.220215,47.28787879,1.069,1.2486,112.14,2.4,4.628325595,-2.19047619,149.5697015
2017/2/8,-92497290.53509888,-1274.365538360142,867.6683897837646,5682.450195,47.28787879,1.0708,1.2543,111.74,2.34,4.619229521,-2.628571429,149.5960746
2017/2/9,-92497290.53509888,-1272.1836955772867,866.5973492646184,5715.180176,47.28787879,1.0658,1.2516,113.24,2.4,4.610133446,-3.066666667,149.6224478
2017/2/10,-92497290.53509888,-1270.001844146206,865.5263041720225,5734.129883,47.28787879,1.065,1.2502,113.22,2.41,4.601037371,-3.504761905,149.6488209
2017/2/13,-92497290.53509888,-1267.8196283318935,864.4555034457652,5763.959961,47.28787879,1.0603,1.251,113.79,2.43,4.591941297,-3.942857143,149.675194
2017/2/14,-92497290.53509888,-1265.6377855490382,863.384462926619,5782.569824,47.28787879,1.0577,1.2465,114.34,2.47,4.582845222,-4.380952381,149.7015672
2017/2/15,-92497290.53509888,-1263.4559341179574,862.3134178340231,5819.439941,47.28787879,1.0597,1.2465,114.17,2.51,4.573749147,-4.819047619,149.7279403
