Date,Close Pfizer
2017/1/4,31.58444
2017/1/5,31.888046
2017/1/6,31.764706
2017/1/9,31.755219
2017/1/10,31.726755
2017/1/11,31.148008
2017/1/12,30.92979
2017/1/13,30.853889
2017/1/17,30.417458
2017/1/18,30.388994
2017/1/19,30.075901
2017/1/20,30.142315
2017/1/23,29.848198
2017/1/24,29.554079
2017/1/25,29.686907
2017/1/26,29.67742
2017/1/27,29.810247
2017/1/30,29.705881
2017/1/31,30.104364
2017/2/1,30.047438
2017/2/2,30.104364
2017/2/3,30.445921
2017/2/6,30.578749
2017/2/7,30.436434
2017/2/8,30.493359
2017/2/9,30.721064
2017/2/10,30.6926
2017/2/13,30.93928
2017/2/14,31.072105
2017/2/15,31.793169
2017/2/16,31.897533
2017/2/17,31.897533
2017/2/21,31.897533
2017/2/22,31.86907
2017/2/23,32.314991
2017/2/24,32.504745
2017/2/27,32.52372
2017/2/28,32.371918
2017/3/1,32.656548
2017/3/2,32.741936
2017/3/3,32.751423
2017/3/6,32.590134
2017/3/7,32.248577
2017/3/8,32.172676
2017/3/9,32.305504
2017/3/10,32.362431
2017/3/13,32.362431
2017/3/14,32.466793
2017/3/15,32.855785
2017/3/16,32.666035
2017/3/17,32.561668
2017/3/20,32.618595
2017/3/21,32.495255
2017/3/22,32.703983
2017/3/23,32.533207
2017/3/24,32.258064
2017/3/27,32.428844
2017/3/28,32.409866
2017/3/29,32.571156
2017/3/30,32.590134
2017/3/31,32.457306
2017/4/3,32.485767
2017/4/4,32.580647
2017/4/5,32.438332
2017/4/6,32.362431
2017/4/7,32.35294
2017/4/10,32.296017
2017/4/11,32.19165
2017/4/12,32.182163
2017/4/13,32.144215
2017/4/17,32.258064
2017/4/18,32.106262
2017/4/19,31.888046
2017/4/20,32.011387
2017/4/21,31.91651
2017/4/24,32.011387
2017/4/25,32.030361
2017/4/26,32.115749
2017/4/27,32.125237
2017/4/28,32.182163
2017/5/1,32.049335
2017/5/2,31.888046
2017/5/3,31.755219
2017/5/4,31.736242
2017/5/5,31.764706
2017/5/8,31.736242
2017/5/9,31.669828
2017/5/10,31.337761
2017/5/11,31.347248
2017/5/12,31.318787
2017/5/15,31.423149
2017/5/16,30.92979
2017/5/17,30.578749
2017/5/18,30.56926
2017/5/19,30.796965
2017/5/22,30.474382
2017/5/23,30.493359
2017/5/24,30.40797
2017/5/25,30.512335
2017/5/26,30.493359
2017/5/30,30.483871
2017/5/31,30.97723
2017/6/1,31.034157
2017/6/2,30.872866
2017/6/5,30.6926
2017/6/6,30.426945
2017/6/7,30.360531
2017/6/8,30.123341
2017/6/9,31.091082
2017/6/12,31.024668
2017/6/13,30.910816
2017/6/14,31.015181
2017/6/15,31.129032
2017/6/16,31.280834
2017/6/19,31.518026
2017/6/20,31.840607
2017/6/21,32.144215
2017/6/22,32.314991
2017/6/23,32.419353
2017/6/26,32.296017
2017/6/27,32.039848
2017/6/28,32.020874
2017/6/29,31.907021
2017/6/30,31.86907
2017/7/3,32.087288
2017/7/5,31.91651
2017/7/6,31.518026
2017/7/7,31.641365
2017/7/10,31.698292
2017/7/11,31.470589
2017/7/12,31.518026
2017/7/13,31.574953
2017/7/14,31.717268
2017/7/17,31.54649
2017/7/18,31.650854
2017/7/19,31.897533
2017/7/20,31.821632
2017/7/21,31.764706
2017/7/24,31.612904
2017/7/25,31.404175
2017/7/26,31.204933
2017/7/27,31.309298
2017/7/28,31.451612
2017/7/31,31.461102
2017/8/1,31.385199
2017/8/2,31.233397
2017/8/3,31.717268
2017/8/4,31.91651
2017/8/7,31.603416
2017/8/8,31.574953
2017/8/9,31.736242
2017/8/10,31.707781
2017/8/11,31.54649
2017/8/14,31.603416
2017/8/15,31.669828
2017/8/16,31.650854
2017/8/17,31.26186
2017/8/18,30.996204
2017/8/21,31.081594
2017/8/22,31.451612
2017/8/23,31.537003
2017/8/24,31.527514
2017/8/25,31.679317
2017/8/28,31.755219
2017/8/29,31.783682
2017/8/30,31.736242
2017/8/31,32.182163
2017/9/1,32.220116
2017/9/5,32.06831
2017/9/6,32.248577
2017/9/7,32.248577
2017/9/8,32.35294
2017/9/11,32.561668
2017/9/12,33.557877
2017/9/13,33.263756
2017/9/14,33.899429
2017/9/15,33.548386
2017/9/18,33.728653
