,Net Income (in millions),Close Pfizer,Close NASDQ,World total cases,World incerased cases,Pfizer Vaccined,SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",medical cpi,US CPI,US GDP,DPI US,industrial production,Inflation Rate,PCE US,PPI US,Unemployment,Commercial and Industral loans,Government investment,roa,roi,roe,R&D expenses,EPS
0,0.2774137522696771,0.12504331211676434,0.0,0.0,0.0,0.0,0.27855153203342686,0.42794158170294816,0.320507399577167,0.5174262734584452,0.0,0.0,0.18136578184185037,0.0,0.523233538945846,0.26666666666666666,0.1642667605633803,0.0,0.10610784984043953,0.20746363061195444,0.0,0.44023367410807424,0.44805769896369896,0.4569215876089061,0.4423868312757201,0.11214953271028039
1,0.2774137522696771,0.13308378267812826,0.004508684351390402,0.0,0.0,0.0,0.2994428969359335,0.43979057591623016,0.3141649048625794,0.5201072386058981,0.0009337708043535287,0.0006598318986510421,0.1818425249212856,0.00031542863867439763,0.5233463053558514,0.26666666666666666,0.16441839384130885,0.0,0.10568846287064815,0.20762175838235292,0.00039482540919300035,0.4421305263509284,0.4500728838793086,0.45915755780104606,0.4356166203703703,0.1150135663551402
2,0.2774137522696771,0.14195605628685914,0.005538000317134917,0.0,0.0,0.0,0.34192200557103103,0.4717553044915954,0.2735729386892176,0.4959785522788205,0.0018675427935521682,0.0013196656109792926,0.1823192644565328,0.0006308572773487953,0.5234590717658572,0.26666666666666666,0.1645700288688654,0.0,0.10526907590085682,0.20777988614800758,0.000789649321315089,0.4440273786772376,0.45208806884581715,0.461393527993186,0.4288464089506173,0.11787760046728973
3,0.2774137522696771,0.1383516933068757,0.008654202337305295,0.0,0.0,0.0,0.32869080779944326,0.443923945990631,0.30295983086680733,0.5093833780160858,0.002801313597906585,0.001979497509631223,0.18279600753596714,0.0009462859160231929,0.5235718381758625,0.26666666666666666,0.16472166389642195,0.0,0.1048496889310655,0.2079380139136622,0.0011844732334371777,0.44592423092009176,0.4541032537614268,0.46362949818532595,0.4220761980452675,0.12074163411214954
4,0.2774137522696771,0.1380744548474051,0.00966656592337567,0.0,0.0,0.0,0.33426183844011215,0.40341691926150425,0.2864693446088795,0.49865951742627346,0.0037350844022601137,0.0026393312219594733,0.18327274707121344,0.0012617145546975905,0.5236846045858679,0.26666666666666666,0.1648732971743505,0.0,0.10443030196127412,0.2080961416840607,0.001579298642629734,0.44782108316294594,0.45611843872793534,0.4658654683774659,0.41530598713991773,0.12360566775700936
5,0.2774137522696771,0.13724265180003803,0.01154832372397907,0.0,0.0,0.0,0.33286908077994415,0.40286580325158416,0.2794926004228331,0.49865951742627346,0.004668855206613642,0.0032991631206114036,0.1837494901506478,0.0015771431933719882,0.5237973681598391,0.26666666666666666,0.16502493220190706,0.0,0.1040109149914828,0.20825426944971534,0.0019741225547522667,0.44971793540580013,0.45813362364354504,0.46810143856960584,0.40853577572016475,0.1264697014018692
6,0.2774137522696771,0.12032993685292837,0.012661390801891437,0.0,0.0,0.0,0.3081476323119783,0.389914577018462,0.29048625792811844,0.49865951742627346,0.00560262719581317,0.003958996832939654,0.18422622968589408,0.0018925718320468299,0.5239101345698445,0.26666666666666666,0.1651765672294636,0.0,0.10359152802169147,0.20841239721537,0.0023689464668743554,0.4516147877321093,0.4601488086100536,0.4703374087617458,0.40176556481481496,0.1293337355140187
7,0.2774137522696771,0.11395295549435813,0.011140961736183397,0.0,0.0,0.0,0.36559888579387234,0.4155414714797465,0.2399577167019027,0.4932975871313673,0.006536398000167587,0.004618828731591584,0.18470296922114038,0.0022080004707212275,0.5240229009798498,0.26666666666666666,0.16532820050739216,0.0,0.10317214105190009,0.20857052498576847,0.0027637718760669117,0.45351163997496347,0.46216399352566323,0.47257337895388574,0.39499535390946516,0.13219776915887851
8,0.2774137522696771,0.11173490170366795,0.013646511239403747,0.0,0.0,0.0,0.35132311977715913,0.41195921741526575,0.2644820295983088,0.5040214477211796,0.007470168804521116,0.005278662443918947,0.18517971230057473,0.002523429109395625,0.5241356673898552,0.26666666666666666,0.16547983553494916,0.0,0.10275275408210877,0.20872865275142313,0.0031585957881890003,0.45540849221781765,0.4641791784921718,0.4748093491460257,0.38822514248971196,0.13506180280373833
9,0.2774137522696771,0.09898108510145309,0.01031672792119498,0.0,0.0,0.0,0.37569637883008333,0.46431523835767363,0.2207188160676532,0.48525469168900814,0.00933771159807506,0.0065983280548991274,0.18613319491525537,0.0031542845569099143,0.5243612002098668,0.26666666666666666,0.16578310384043382,0.0,0.10191398022689446,0.20904490828747627,0.003948245109504089,0.4573053444606718,0.4661943634077814,0.47704531933816563,0.38145493158436217,0.13792583644859815
10,0.2774137522696771,0.09814928205408602,0.011908687681650099,0.0,0.0,0.0,0.3711699164345408,0.442546155965831,0.23002114164904874,0.5093833780160858,0.010271482402428589,0.007258159953551058,0.18660993445050256,0.003469713195584756,0.5244739666198721,0.26666666666666666,0.16593473886799037,0.0,0.10149459325710314,0.2092030360531309,0.004343069021626178,0.459202196786981,0.46820954837428996,0.4792812895303056,0.3746847206790124,0.14078987056074768
