Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment,Pandemic1
0.000107558,0.58513437,0.280395007,0.562540437,0.480134457,0.434673367,0.40137931,0.6875,0.593220339,0.349773461,0.535483871,0.123499969,0
0.000107558,0.585134355,0.28039504,0.561177637,0.480134457,0.620603015,0.499310345,0.637931034,0.559322034,0.349773463,0.535483871,0.123499969,0
0.000107558,0.585134354,0.28039504,0.573688488,0.480134457,0.726130653,0.468965517,0.657327586,0.474576271,0.349773461,0.535483871,0.12350031,0
0.000107558,0.585134333,0.280395031,0.568565016,0.480134457,0.530150754,0.584827586,0.579741379,0.576271186,0.349773463,0.535483871,0.123499969,0
0.000107558,0.58513437,0.280395007,0.549498229,0.480134457,0.459798995,0.388965517,0.626077586,0.474576271,0.349773463,0.535483871,0.12350031,0
0.000107558,0.585134355,0.28039504,0.585419791,0.480134457,0.484924623,0.554482759,0.627155172,0.355932203,0.349773461,0.535483871,0.123499969,0
0.000107558,0.585134354,0.28039504,0.560859782,0.480134457,0.793969849,0.684137931,0.447198276,0.542372881,0.349773463,0.535483871,0.123499969,0
0.000107558,0.585134354,0.28039504,0.560588463,0.480134457,0.532663317,0.482758621,0.586206897,0.457627119,0.349773461,0.535483871,0.12350031,0
0.000107558,0.585134371,0.280395008,0.56075571,0.480134457,0.552763819,0.470344828,0.615301724,0.457627119,0.349773463,0.535483871,0.123499969,0
0.000107558,0.585134354,0.28039504,0.498241221,0.480134457,0.663316583,0.637241379,0.549568966,0.440677966,0.349773461,0.556129032,0.123499969,0
0.000107558,0.585134355,0.28039504,0.576513083,0.480134457,0.497487437,0.475862069,0.533405172,0.457627119,0.349773463,0.535483871,0.12350031,0
0.000107558,0.585134354,0.28039504,0.558168026,0.480134457,0.489949749,0.548965517,0.630387931,0.525423729,0.349773463,0.535483871,0.123499969,0
0.000107558,0.585134371,0.280395008,0.566832466,0.480134457,0.570351759,0.431724138,0.614224138,0.491525424,0.347384281,0.535483871,0.123499969,0
0.000107558,0.585134332,0.28039503,0.567167243,0.480134457,0.713567839,0.606896552,0.564655172,0.474576271,0.349773461,0.535483871,0.12350031,0
