,Close Pfizer,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
0,0.13308378267812823,0.0,0.0,0.6778410343449318,0.0,0.2774137522386398,0.27855153203342653,0.42794158170294844,0.3205073995771673,0.517426273458445,0.10610784984043951,0.20746363061195444,0.0
1,0.14195605628685914,0.0,0.0003267932476434709,0.6777847573002471,0.0045086843513903515,0.2774137522386398,0.2994428969359335,0.4397905759162303,0.3141649048625793,0.5201072386058981,0.10568846287064818,0.20762175838235292,0.0003952933584771835
2,0.13835169330687566,0.0,0.0006535876096238524,0.6777284785868177,0.00553800031713487,0.2774137522386398,0.341922005571031,0.47175530449159553,0.2735729386892177,0.49597855227882043,0.10526907590085684,0.20777988614800758,0.0007905852181091477
3,0.13807445484740505,0.0,0.0009803819716042972,0.6776721999470092,0.008654202337305208,0.2774137522386398,0.32869080779944315,0.44392394599063106,0.3029598308668076,0.5093833780160858,0.1048496889310655,0.20793801391366223,0.001185877077741112
4,0.13724265180003803,0.0,0.0013071754978319801,0.6776159228532439,0.009666565923375666,0.2774137522386398,0.3342618384401118,0.4034169192615042,0.28646934460887946,0.4986595174262734,0.10443030196127415,0.2080961416840607,0.0015811704362178696
5,0.12032993685292827,0.0,0.001633969859812425,0.6775596441888951,0.011548323723979076,0.2774137522386398,0.3328690807799441,0.40286580325158416,0.27949260042283297,0.4986595174262734,0.10401091499148281,0.20825426944971534,0.001976462295849834
6,0.11395295549435812,0.0,0.0019607639432085945,0.6775033655000061,0.01266139080189141,0.2774137522386398,0.3081476323119779,0.38991457701846227,0.2904862579281186,0.4986595174262734,0.10359152802169147,0.20841239721537,0.0023717541554817982
7,0.11173490170366787,0.0,0.0022875574694362776,0.6774470884062407,0.011140961736183324,0.2774137522386398,0.36559888579387195,0.4155414714797466,0.23995771670190294,0.49329758713136723,0.10317214105190012,0.20857052498576847,0.0027670475139585557
8,0.09898108510145302,0.0,0.002614351831416659,0.6773908097418918,0.01364651123940368,0.2774137522386398,0.35132311977715885,0.4119592174152658,0.2644820295983088,0.5040214477211796,0.10275275408210878,0.20872865275142313,0.0031623393735905198
9,0.09814928205408599,0.0,0.0032679380481193255,0.6772782535665917,0.010316727921194981,0.2774137522386398,0.3756963788300833,0.46431523835767397,0.22071881606765323,0.48525469168900803,0.10191398022689446,0.20904490828747627,0.003952924591699242
10,0.08899976998588449,0.0,0.003594732410099707,0.677221974853162,0.011908687681650047,0.2774137522386398,0.3711699164345406,0.442546155965831,0.23002114164904885,0.5093833780160858,0.10149459325710312,0.20920303605313093,0.004348216451331206
11,0.09094058531710404,0.0,0.003921526772080152,0.6771656961888134,0.010443755793348924,0.2774137522386398,0.3530640668523676,0.44530173601543116,0.27019027484143765,0.5227882037533512,0.10107520628731179,0.20936116381878556,0.004743508310963171
12,0.08234560861381386,0.0,0.004248320019723623,0.6771094191195883,0.011878596116309023,0.2774137522386398,0.3913649025069641,0.4910443648387983,0.21945031712473595,0.5254691689008043,0.10065581931752043,0.2096774193548387,0.005138801669439928
13,0.07375057346455356,0.0,0.004575114381704004,0.6770531404306992,0.011653713169095952,0.2774137522386398,0.3913649025069641,0.4910443648387983,0.21945031712473595,0.5067024128686327,0.1002364323477291,0.20983554712049335,0.005534093529071892
14,0.07763220412699276,0.0,0.004901908743684449,0.6769968617663505,0.01617181553010253,0.2774137522386398,0.3944986072423398,0.5037200330669608,0.23488372093023255,0.5227882037533512,0.09981704537793776,0.2099936748908918,0.005929385388703856
15,0.07735496566752216,0.0,0.005228701991327857,0.6769405846725851,0.02138239187169029,0.2774137522386398,0.3924094707520894,0.5282446955084045,0.23424947145877376,0.5388739946380696,0.09939765840814642,0.21015180265654645,0.006324678747180614
16,0.08123656710697623,0.0,0.005555496353308302,0.6768843060082363,0.02127328115643476,0.2774137522386398,0.3669916434540389,0.5169468173050427,0.2575052854122623,0.5335120643431635,0.09897827143835507,0.2103099304222011,0.006719970606812578
17,0.07818668104593396,0.0,0.005882290715288683,0.6768280273193472,0.0218001365522387,0.2774137522386398,0.37395543175487456,0.5037200330669608,0.26723044397463,0.5281501340482574,0.09855888446856373,0.2104680581925996,0.007115263965289336
18,0.08983154381026641,0.0,0.006209084241516429,0.6767717502746626,0.017371436127987205,0.2774137522386398,0.3708217270194989,0.48911545880407825,0.23974630021141657,0.5281501340482574,0.09813949749877239,0.21062618595825425,0.0075105558249213
19,0.08816799616150248,0.0,0.006535878603496811,0.6767154715857735,0.017473058388075294,0.2774137522386398,0.41016713091921986,0.5186001653348028,0.21564482029598317,0.517426273458445,0.09772011052898097,0.21062618595825425,0.007905847684553264
20,0.08983154381026641,0.0,0.006546572059709942,0.6767086256337838,0.02009433411427488,0.2774137522386398,0.3976323119777163,0.5345825296224854,0.22769556025370002,0.5254691689008043,0.09772011052898097,0.20854793530360527,0.008301141043030447
21,0.09981285892583493,0.0,0.007154401371473387,0.6764457872083595,0.01948749479133208,0.2774137522386398,0.4129526462395546,0.506475613116561,0.21057082452431308,0.5254691689008043,0.09695268891545701,0.20646968464895635,0.008696432902662412
