Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/2/2,0.377076142,2017/2/1,0.468661373,0.460077775,0.527551014,0.57654185,0.480134457,0.432160804,0.56,0.685344828,0.559322034,0.352162643,0.495053763,0.12350031
2017/2/3,0.414775597,2017/2/2,0.468661373,0.525708384,0.458058297,0.556724283,0.480134457,0.633165829,0.339310345,0.536637931,0.508474576,0.340771849,0.495053763,0.123499969
2017/2/6,0.387129383,2017/2/3,0.468661373,0.525708395,0.458058285,0.578107152,0.480134457,0.497487437,0.428965517,0.617456897,0.525423729,0.34077185,0.495053763,0.123499969
2017/2/7,0.350686616,2017/2/6,0.468661373,0.525708378,0.45805829,0.558589671,0.480134457,0.369346734,0.405517241,0.613146552,0.389830508,0.340771849,0.495053763,0.12350031
2017/2/8,0.377076009,2017/2/7,0.468661373,0.525708383,0.458058286,0.566613042,0.480134457,0.41959799,0.529655172,0.604525862,0.474576271,0.340771849,0.495053763,0.123499969
2017/2/9,0.399695868,2017/2/8,0.468661373,0.525708387,0.45805829,0.565203424,0.480134457,0.567839196,0.55862069,0.580818966,0.406779661,0.34077185,0.495053763,0.123499969
2017/2/10,0.365766212,2017/2/9,0.468661373,0.525708387,0.458058286,0.579354881,0.480134457,0.396984925,0.442758621,0.785560345,0.610169492,0.340771849,0.495053763,0.12350031
2017/2/13,0.402209112,2017/2/10,0.468661373,0.525708378,0.45805829,0.57139525,0.480134457,0.502512563,0.460689655,0.621767241,0.525423729,0.340771849,0.495053763,0.123499969
2017/2/14,0.387128985,2017/2/13,0.468661373,0.526447051,0.459020293,0.577679867,0.480134457,0.404522613,0.491034483,0.685344828,0.542372881,0.34077185,0.495053763,0.123499969
2017/2/15,0.465041405,2017/2/14,0.468661373,0.525708387,0.458058286,0.571198953,0.480134457,0.457286432,0.417931034,0.683189655,0.576271186,0.340771849,0.495053763,0.12350031
2017/2/16,0.383359318,2017/2/15,0.468661373,0.525708378,0.45805829,0.581746267,0.480134457,0.572864322,0.48,0.605603448,0.576271186,0.340771849,0.495053763,0.123499969
2017/2/17,0.369536277,2017/2/16,0.468661373,0.525708392,0.458058286,0.557827327,0.480134457,0.680904523,0.496551724,0.536637931,0.406779661,0.34077185,0.495053763,0.123499969
2017/2/21,0.369536277,2017/2/17,0.468661373,0.525708378,0.45805829,0.574127619,0.480134457,0.407035176,0.412413793,0.570043103,0.457627119,0.329381055,0.495053763,0.12350031
2017/2/22,0.365766345,2017/2/21,0.468661373,0.528419498,0.460742017,0.576258968,0.480134457,0.364321608,0.531034483,0.690732759,0.525423729,0.329381056,0.475268817,0.2133412
2017/2/23,0.428598638,2017/2/22,0.468661373,0.525708384,0.458058297,0.557376633,0.480134457,0.532663317,0.467586207,0.621767241,0.491525424,0.340771849,0.495053763,0.12350031
2017/2/24,0.394669247,2017/2/23,0.468661373,0.525708387,0.458058286,0.545940058,0.480134457,0.600502513,0.606896552,0.53987069,0.440677966,0.34077185,0.495053763,0.123499969
2017/2/27,0.372049521,2017/2/24,0.468661373,0.525708387,0.45805829,0.566110453,0.480134457,0.507537688,0.412413793,0.578663793,0.389830508,0.340771849,0.495053763,0.123499969
